timestamp_utc,stage,detail
2026-08-14T16:35:31.242260+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T16:35:31.242376+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T16:35:31.242447+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T16:35:31.242509+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T16:35:31.242567+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T16:40:27.131493+00:00,client_ok,paper trading client constructed
2026-08-14T16:40:27.131755+00:00,skip_extreme,CGTL: relvol=132.1 > 50.0
2026-08-14T16:40:27.131839+00:00,skip_extreme,HHS: relvol=182.1 > 50.0
2026-08-14T16:40:27.177431+00:00,equity,100000.00
2026-08-14T16:40:27.592607+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T16:40:27.592716+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T16:40:27.592788+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T16:40:27.592853+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T16:40:27.592912+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T16:45:24.473856+00:00,client_ok,paper trading client constructed
2026-08-14T16:45:24.474146+00:00,skip_extreme,CGTL: relvol=132.1 > 50.0
2026-08-14T16:45:24.474239+00:00,skip_extreme,HHS: relvol=182.1 > 50.0
2026-08-14T16:45:24.519557+00:00,equity,100000.00
2026-08-14T16:45:24.905505+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=4
2026-08-14T16:45:24.905614+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T16:45:24.905686+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T16:45:24.905750+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T16:45:24.905811+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T16:50:32.146695+00:00,client_ok,paper trading client constructed
2026-08-14T16:50:32.296247+00:00,skip_extreme,CGTL: relvol=132.8 > 50.0
2026-08-14T16:50:32.296350+00:00,skip_extreme,HHS: relvol=184.1 > 50.0
2026-08-14T16:50:32.502321+00:00,equity,100000.00
2026-08-14T16:50:35.176831+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=9
2026-08-14T16:50:35.177000+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T16:50:35.177125+00:00,skip_watching,CAPR: no fresh first-pullback signal
2026-08-14T16:50:35.177210+00:00,skip_watching,EMAT: no fresh first-pullback signal
2026-08-14T16:50:35.177287+00:00,skip_watching,GRSD: no fresh first-pullback signal
2026-08-14T16:50:35.177363+00:00,skip_watching,IMXI: no fresh first-pullback signal
2026-08-14T16:50:35.177436+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T16:50:35.177510+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T16:50:35.177583+00:00,skip_watching,NMAX: no fresh first-pullback signal
2026-08-14T16:50:35.177654+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T16:55:30.390093+00:00,client_ok,paper trading client constructed
2026-08-14T16:55:30.390459+00:00,skip_extreme,CGTL: relvol=132.8 > 50.0
2026-08-14T16:55:30.390571+00:00,skip_extreme,HHS: relvol=184.1 > 50.0
2026-08-14T16:55:30.880374+00:00,equity,100000.00
2026-08-14T16:55:34.413829+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=9
2026-08-14T16:55:34.413951+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T16:55:34.414043+00:00,skip_watching,CAPR: no fresh first-pullback signal
2026-08-14T16:55:34.414122+00:00,skip_watching,EMAT: no fresh first-pullback signal
2026-08-14T16:55:34.414198+00:00,skip_watching,GRSD: no fresh first-pullback signal
2026-08-14T16:55:34.414273+00:00,skip_watching,IMXI: no fresh first-pullback signal
2026-08-14T16:55:34.414347+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T16:55:34.414455+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T16:55:34.414575+00:00,skip_watching,NMAX: no fresh first-pullback signal
2026-08-14T16:55:34.414704+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T17:00:26.374053+00:00,client_ok,paper trading client constructed
2026-08-14T17:00:26.374325+00:00,skip_extreme,CGTL: relvol=132.8 > 50.0
2026-08-14T17:00:26.374378+00:00,skip_extreme,HHS: relvol=184.1 > 50.0
2026-08-14T17:00:26.598274+00:00,equity,100000.00
2026-08-14T17:00:29.308754+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=9
2026-08-14T17:00:29.308877+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T17:00:29.308931+00:00,skip_watching,CAPR: no fresh first-pullback signal
2026-08-14T17:00:29.308971+00:00,skip_watching,EMAT: no fresh first-pullback signal
2026-08-14T17:00:29.309009+00:00,skip_watching,GRSD: no fresh first-pullback signal
2026-08-14T17:00:29.309045+00:00,skip_watching,IMXI: no fresh first-pullback signal
2026-08-14T17:00:29.309080+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T17:00:29.309115+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T17:00:29.309195+00:00,skip_watching,NMAX: no fresh first-pullback signal
2026-08-14T17:00:29.309239+00:00,skip_watching,WETO: no fresh first-pullback signal
2026-08-14T17:05:26.235069+00:00,client_ok,paper trading client constructed
2026-08-14T17:05:26.235383+00:00,skip_extreme,CGTL: relvol=132.8 > 50.0
2026-08-14T17:05:26.235468+00:00,skip_extreme,HHS: relvol=184.1 > 50.0
2026-08-14T17:05:30.437234+00:00,equity,100000.00
2026-08-14T17:05:31.472590+00:00,pass_done,open=0 slots=0 exits=0 entries=watching=9
2026-08-14T17:05:31.472717+00:00,skip_watching,AKAN: no fresh first-pullback signal
2026-08-14T17:05:31.472788+00:00,skip_watching,CAPR: no fresh first-pullback signal
2026-08-14T17:05:31.472850+00:00,skip_watching,EMAT: no fresh first-pullback signal
2026-08-14T17:05:31.472908+00:00,skip_watching,GRSD: no fresh first-pullback signal
2026-08-14T17:05:31.472965+00:00,skip_watching,IMXI: no fresh first-pullback signal
2026-08-14T17:05:31.473020+00:00,skip_watching,LBGJ: no fresh first-pullback signal
2026-08-14T17:05:31.473075+00:00,skip_watching,MF: no fresh first-pullback signal
2026-08-14T17:05:31.473129+00:00,skip_watching,NMAX: no fresh first-pullback signal
2026-08-14T17:05:31.473184+00:00,skip_watching,WETO: no fresh first-pullback signal
