captured_at_utc,session_date,snapshot_quality,date_utc,symbol,close,gap_pct,relvol,float_shares,volume,passes
2026-08-14T13:30:24.651906+00:00,2026-08-14,timestamped,2026-08-14,AIRO,10.71,16.961130742049463,10.283448907354995,18988766.58584,3409605,True
2026-08-14T13:30:24.651906+00:00,2026-08-14,timestamped,2026-08-14,DFSC,2.31,108.06451612903227,2377.420100605174,2657400.7935699997,114044129,True
2026-08-14T13:30:24.651906+00:00,2026-08-14,timestamped,2026-08-14,FGI,11.72,79.06976744186046,789.8140079575228,522484.125069,102310769,True
2026-08-14T13:30:24.651906+00:00,2026-08-14,timestamped,2026-08-14,FRGT,2.17,21.487603305785125,131.52595721525137,563186.7219420001,14453953,True
2026-08-14T13:30:24.651906+00:00,2026-08-14,timestamped,2026-08-14,LNSR,8.27,19.236883942766294,46.60538497950146,9659885.0322,2323614,True
2026-08-14T13:30:24.651906+00:00,2026-08-14,timestamped,2026-08-14,RRGB,9.9,4.166666666666665,7.218164631362932,15652894.6102,2144202,True
,2026-08-13,legacy_unknown,2026-08-13,BOXL,7.87,55.802047781569975,115.2754165315074,564332.890228,66169726,True
,2026-08-13,legacy_unknown,2026-08-13,DFSC,2.56,108.06451612903228,969.2232179896894,2654286.16973,46493347,True
,2026-08-13,legacy_unknown,2026-08-13,FGI,8.17,79.06976744186046,288.9568990672993,522484.125069,37430841,True
,2026-08-13,legacy_unknown,2026-08-13,FRGT,2.3362,21.487603305785125,113.62034245634214,563186.7219420001,12486228,True
,2026-08-13,legacy_unknown,2026-08-13,LNSR,7.99,19.23688394276629,21.30949993180524,9659885.0322,1062432,True
,2026-08-13,legacy_unknown,2026-08-13,NTHI,3.46,3.218390804597714,6.9496610958111695,2063108.153925,1105288,True
